,Estacion,Propietario,Operador,Región,Provincia,Comuna,Coordenadas UTM,Huso horario,Recepción de datos,Inicio de operación reportada,URL,Estacion_id,Fin de operación reportada
49,21 de Mayo,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,281938 E 6848939 N,19,en línea,2008-05-21,https://sinca.mma.gob.cl/index.php/estacion/index/id/201,201,
172,21 de mayo,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Biobío,Los Angeles,733331 E 5849585 N,18,en línea,2012-04-14,https://sinca.mma.gob.cl/index.php/estacion/index/id/236,236,
105,ARMAT,NO INFORMADO,NO INFORMADO,de Valparaíso,Valparaíso,Quilpué,273138 E 6341755 N,19,carga manual,2002-01-17,https://sinca.mma.gob.cl/index.php/estacion/index/id/5,5,
204,Alerce,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,de los Lagos,Llanquihue,Puerto Montt,675585 E 5414803 N,19,en línea,2017-03-17,https://sinca.mma.gob.cl/index.php/estacion/index/id/198,198,
1,Alto Hospicio,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Tarapacá,Iquique,Alto Hospicio,385118 E 7755989 N,19,en línea,2015-12-17,https://sinca.mma.gob.cl/index.php/estacion/index/id/157,157,
61,Andacollo,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Elqui,Andacollo,299236 E 6654136 N,19,en línea,2009-07-16,https://sinca.mma.gob.cl/index.php/estacion/index/id/171,171,
2,Antofagasta,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Antofagasta,Antofagasta,358874 E 7387875 N,19,en línea,2013-06-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/259,259,
0,Arica,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Arica y Parinacota,Arica,Arica,363747 E 7955831 N,19,en línea,2013-11-27,https://sinca.mma.gob.cl/index.php/estacion/index/id/232,232,
15,Aukahuasi,Codelco Distrito Norte,CIMM Tecnologías y Servicios S.A.,de Antofagasta,El Loa,Calama,506481 E 7531673 N,19,carga manual,1994-05-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/108,108,
166,Balneario Curanilahue,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Arauco,Curanilahue,647504 E 5850002 N,18,en línea,2009-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/189,189,
167,Bocatoma,ENAP,CESMEC S.A,del Biobío,Concepción,Hualpén,667680 E 5925321 N,18,en línea,2007-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/277,277,
27,Bomberos,Norgener S.A,CESMEC S.A,de Antofagasta,Tocopilla,Tocopilla,375319 E 7554741 N,19,en línea,2011-10-14,https://sinca.mma.gob.cl/index.php/estacion/index/id/178,178,
41,CAP,Codelco Divsión El Salvador,NO INFORMADO,de Atacama,Chañaral,Diego de Almagro,449439 E 7077320 N,19,carga manual,2005-03-15,https://sinca.mma.gob.cl/index.php/estacion/index/id/45,45,
195,CESFAM Lago Ranco,Ministerio del Medio Ambiente,"CENMA, Centro Nacional del Medio Ambiente",de los Ríos,Ranco,Lago Ranco,205001 E 5530769 N,19,carga manual,2011-06-16,https://sinca.mma.gob.cl/index.php/estacion/index/id/115,115,
174,"CESFAM, Los Ángeles",Municipalidad de Los Angeles,SEREMI SALUD BIOBIO,del Biobío,Biobío,Los Angeles,733330 E 5850426 N,19,carga manual,2008-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/67,67,
68,Caimanes,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Los Vilos,298016 E 6465581 N,19,carga manual,2005-03-15,https://sinca.mma.gob.cl/index.php/estacion/index/id/32,32,
